Gene,Fib1,Fib2,Fib3,Gel1,Gel2,Gel3,Nor1,Nor2,Nor3,blk1,blk2,blk3
ADAMTS1,8.116333333,7.633333333,8.219333333,8.554,8.202,8.37,9.867,9.543,9.898,13.15466667,12.42866667,12.47866667
AMOT,12.16433333,,12.39733333,12.887,11.25,10.652,11.494,10.453,10.729,10.16566667,9.876666667,10.49066667
ANG,,13.94633333,14.38033333,14.163,12.925,12.554,11.615,12.01,14.692,15.67366667,13.06566667,13.61166667
ANGPT1,,,,,,,,,,,,
ANGPT2,5.587333333,5.515333333,5.661333333,4.98,4.611,5.102,3.991,3.503,3.948,4.644666667,4.352666667,4.533666667
ANGPT4,,,,,,,,,,,,
ANGPTL1,,,,,,,,,,,,
ANGPTL2,6.821333333,7.068333333,6.944333333,7.006,6.663,7.081,7.136,6.886,7.059,6.930666667,6.587666667,7.280666667
ANGPTL3,,,,,,,16.219,,,,,
ANGPTL4,6.858333333,6.982333333,6.855333333,7.048,6.71,6.722,9.086,9.155,8.918,9.470666667,9.330666667,9.571666667
BAI1,15.42833333,11.42533333,,12.651,,,,11.669,,,,
CD44,6.393333333,6.038333333,5.950333333,6.028,5.58,5.545,7.288,7.253,7.572,10.35666667,10.33966667,10.34966667
CDH5,3.898333333,1.614333333,2.132333333,2.536,1.038,1.736,1.91,0.965,2.083,2.585666667,1.883666667,3.632666667
CEACAM1,7.611333333,7.785333333,7.682333333,7.79,7.698,7.944,7.708,7.904,7.655,7.688666667,7.688666667,7.781666667
CHGA,,,,,,,,,,,,
COL15A1,12.48333333,11.94433333,12.21833333,9.148,8.788,9.318,7.779,8.159,8.806,10.68766667,11.22266667,11.84966667
COL18A1,3.541333333,3.459333333,3.477333333,3.861,3.444,3.751,3.581,3.547,3.639,4.666666667,3.688666667,4.996666667
COL4A1,1.127333333,-0.402666667,0.179333333,0.581,-0.406,0.165,0.169,-0.623,0.286,1.203666667,0.681666667,1.683666667
COL4A2,0.455333333,0.460333333,0.572333333,0.67,0.67,0.902,1.149,1.001,1.155,2.519666667,2.091666667,2.504666667
COL4A3,,,,,,,,,,,,
CSF3,9.399333333,9.461333333,9.120333333,,8.838,9.557,11.431,11.054,12.734,15.43866667,13.33266667,18.50466667
CTGF,2.565333333,2.533333333,2.425333333,2.549,2.496,2.518,4.696,4.64,4.724,9.373666667,8.903666667,9.657666667
CXCL10,,,,,,,,,14.373,,,
CXCL12,7.227333333,6.641333333,7.070333333,5.351,5.065,5.244,6.358,5.975,6.294,9.578666667,9.265666667,9.605666667
