Gene,PC1,PC2
ADAMTS1,0.024859565876808983,0.004219548588815116
AMOT,0.019052606417387128,0.0039033894633449407
ANG,0.0027878152103724893,0.024365181297086338
ANGPT1,7.774727211736134e-18,2.7126139307934784e-18
ANGPT2,0.012405577245917586,0.026197768788333176
ANGPT4,8.374570467140377e-19,5.1670582393306586e-18
ANGPTL1,3.417450473024802e-18,3.914799987380132e-18
ANGPTL2,0.0017497598915996754,0.002561553188619347
ANGPTL3,0.0040188874398144414,0.011312750283383579
ANGPTL4,0.032733604514263215,0.011788332684629322
BAI1,0.009078045657098022,0.013392477230828101
CD44,0.027283072477964933,0.0020776212852801133
CDH5,0.006523772486763126,0.0275402569847122
CEACAM1,0.0029144157436370335,0.0122267881991303
CHGA,0.0,0.0
COL15A1,0.0013667904394150127,0.03154181029765963
COL18A1,0.01731110508423958,0.014828895179834439
COL4A1,0.0120313446784477,0.02565819919248348
COL4A2,0.027341811294722625,0.002430813183385039
COL4A3,0.0,0.0
CSF3,0.023416395926280496,0.0031204477168899404
CTGF,0.03382484049180929,0.008378969662087522
CXCL10,0.003902767425932705,0.006576306781244111
CXCL12,0.017221549214121237,0.019245069813185276
CXCL2,0.023104481982257848,0.011183335872363297
ECGF1,0.016331725733086302,0.013214637427759671
EDG1,0.0028256628180443923,0.035052227069263114
EDIL3,0.027417093431368812,0.013227303393813021
ENPP2,0.016587400475771633,0.005164721578751475
EPHB2,0.020432500336453784,0.0016038264887436836
F2,0.0,0.0
FBLN5,0.0041572376768753425,0.010639122131935746
FGA,0.0,0.0
FGF1,0.0066293361200365,0.020870082819084024
FGF2,0.009507478877113906,0.029004176075315396
FGF4,0.0,0.0
FIGF,0.0006310691254041355,0.015758473546208008
FLT1,0.014580949318046843,0.008386512090273825
FLT3,0.0,0.0
FLT4,0.012731072403690608,0.006398140320022572
FN1,0.028628574471754348,0.001143336182321417
FOXC2,0.021449402525366458,0.0026816760884188296
FST,0.005428522431507325,0.0030745168270992747
GRN,0.005578469574006226,0.02575409754302552
HEY1,0.010025033418021976,0.02299951023201315
HGF,0.011625583555531525,0.0031915161962622444
HSPG2,0.026910610726933626,0.001799482085059193
IFNB1,0.009772390247535168,0.0027127619703726184
IFNG,0.0,0.0
IL12A,0.007894215015230863,0.01780883351001179
IL8,0.016126290468945096,0.016583199160126762
ITGA4,0.02990926502465441,0.006925665030847972
ITGAV,0.0012407925968660265,0.03595736521704252
ITGB3,0.027313609347569278,0.004377494850431833
KDR,0.006382699273742025,0.026784625848172643
KIT,6.68532178790618e-05,0.0034968105908893578
LECT1,0.0,0.0
LEP,0.0,0.0
MDK,0.00878615306722652,0.021719835259532187
MMP2,0.007688728082268791,0.0009672632424476826
NRP1,0.022599693564852363,0.010318243888595497
NRP2,0.01423467184085976,0.0248341320530067
PDGFB,0.02597846701060677,0.0054224671531734915
PDGFRA,0.015466939857723155,0.008211324823511676
PDGFRB,0.010212401786037613,0.012128793679976442
PECAM1,0.011208616168358013,0.02683335915560434
PF4,0.012258765987972877,0.005693809558180732
PLG,0.0,0.0
PRL,0.0,0.0
PROK1,0.0,0.0
PROX1,0.01572731141498737,0.014377735569916
PTN,0.0,0.0
SEMA3F,0.02502318941539973,0.0009375952504874289
SERPINB5,0.0,0.0
SERPINC1,0.0005445616557555324,0.018916409248089395
SERPINF1,0.0,0.0
TEK,0.01027405438274003,0.03167830977996727
TGFA,0.018843030072078954,0.004809486732664665
TGFB1,0.020254423573818025,0.008376300855646666
THBS1,0.0291918974584692,0.0007021525569451484
THBS2,0.0,0.0
TIE1,0.018390892514220915,0.004881671076665243
TIMP2,0.003683953438618821,0.022834105160473715
TIMP3,0.010958052131924736,0.010501971476284896
TNF,0.0041618502397770514,0.0221347872572159
TNFSF15,0.0035725750104365628,0.023861591287733328
TNMD,0.0077008279591329176,0.008411107203712676
TNNI1,0.0,0.0
VASH1,0.019080152979855814,0.018344145261815353
VEGF,0.02103365753719172,0.012047036137705495
VEGFB,0.0005991376044419032,0.03110137019202505
VEGFC,0.0058371207863024185,0.03478114256376912
XLKD1,0.01357682674865352,0.01801422360829283
